Small-Signal Analysis Report
========================================================================
Case file        : cases/Fault_Cases/ieee39_fault.xlsx
Generated        : 2026-04-29T17:37:24.227
States           : 206
Linearization t  : 0.0  (fault off)
Steady-state |f| : 7.022e-10  (OK)
  168      -1.964662e+03       7.061396e+03    1123.8561       0.2680
  169      -2.032752e+03       9.928751e+03    1580.2099       0.2006
  170      -2.032752e+03      -9.928751e+03    1580.2099       0.2006
  171      -2.061542e+03      -2.324769e+04    3699.9847       0.0883
  172      -2.061542e+03       2.324769e+04    3699.9847       0.0883
  173      -2.295649e+03      -1.090896e+04    1736.2146       0.2059
  174      -2.295649e+03       1.090896e+04    1736.2146       0.2059
  175      -3.638717e+03      -2.314457e+04    3683.5722       0.1553
  176      -3.638717e+03       2.314457e+04    3683.5722       0.1553
  177      -8.414816e+03       0.000000e+00       0.0000       1.0000
  178      -9.250346e+03       0.000000e+00       0.0000       1.0000
  179      -1.661215e+04       0.000000e+00       0.0000       1.0000
  180      -2.741713e+04       0.000000e+00       0.0000       1.0000
  181      -5.843432e+05      -1.228567e+07 1955325.5746       0.0475
  182      -5.843432e+05       1.228567e+07 1955325.5746       0.0475
  183      -5.977930e+05       0.000000e+00       0.0000       1.0000
  184      -9.966410e+05       0.000000e+00       0.0000       1.0000
  185      -3.548516e+06       0.000000e+00       0.0000       1.0000
  186      -6.625842e+06       0.000000e+00       0.0000       1.0000

Algebraic (infinite) modes
------------------------------------------------------------------------
  alg    1 : λ = Inf + NaN*im
  alg    2 : λ = Inf + NaN*im
  alg    3 : λ = Inf + NaN*im
  alg    4 : λ = Inf + NaN*im
  alg    5 : λ = Inf + NaN*im
  alg    6 : λ = Inf + NaN*im
  alg    7 : λ = Inf + NaN*im
  alg    8 : λ = Inf + NaN*im
  alg    9 : λ = Inf + NaN*im
  alg   10 : λ = Inf + NaN*im
  alg   11 : λ = Inf + NaN*im
  alg   12 : λ = Inf + NaN*im
  alg   13 : λ = Inf + NaN*im
  alg   14 : λ = Inf + NaN*im
  alg   15 : λ = Inf + NaN*im
  alg   16 : λ = Inf + NaN*im
  alg   17 : λ = Inf + NaN*im
  alg   18 : λ = Inf + NaN*im
  alg   19 : λ = Inf + NaN*im
  alg   20 : λ = Inf + NaN*im

Participation factors  (top 5 per finite mode, |p_ki| normalized)
------------------------------------------------------------------------
Mode    1   λ = 1.921622e-06 -2.171484e+07j
    vq_bus35                                      p = 0.5000
    vd_bus35                                      p = 0.5000
    i_d_line43(b22->b35)                          p = 0.0000
    i_q_line43(b22->b35)                          p = 0.0000
    vd_bus22                                      p = 0.0000

Mode    2   λ = 1.921622e-06 +2.171484e+07j
    vq_bus35                                      p = 0.5000
    vd_bus35                                      p = 0.5000
    i_d_line43(b22->b35)                          p = 0.0000
    i_q_line43(b22->b35)                          p = 0.0000
    vd_bus22                                      p = 0.0000

Mode    3   λ = -5.256884e-08 -1.588970e+07j
    vd_bus32                                      p = 0.5000
    vq_bus32                                      p = 0.5000
    i_d_line37(b10->b32)                          p = 0.0000
    i_q_line37(b10->b32)                          p = 0.0000
    vq_bus10                                      p = 0.0000

Mode    4   λ = -5.256884e-08 +1.588970e+07j
    vd_bus32                                      p = 0.5000
    vq_bus32                                      p = 0.5000
    i_d_line37(b10->b32)                          p = 0.0000
    i_q_line37(b10->b32)                          p = 0.0000
    vq_bus10                                      p = 0.0000

Mode    5   λ = -6.321590e-08 -3.354863e+07j
    vd_bus30                                      p = 0.5000
    vq_bus30                                      p = 0.5000
    i_q_line35(b2->b30)                           p = 0.0000
    i_d_line35(b2->b30)                           p = 0.0000
    vq_bus2                                       p = 0.0000

Mode    6   λ = -6.321590e-08 +3.354863e+07j
    vd_bus30                                      p = 0.5000
    vq_bus30                                      p = 0.5000
    i_q_line35(b2->b30)                           p = 0.0000
    i_d_line35(b2->b30)                           p = 0.0000
    vq_bus2                                       p = 0.0000

Mode    7   λ = -2.216486e-04 -2.092273e+07j
    vd_bus36                                      p = 0.5000
    vq_bus36                                      p = 0.5000
    i_d_line44(b23->b36)                          p = 0.0000
    i_q_line44(b23->b36)                          p = 0.0000
    vd_bus23                                      p = 0.0000

Mode    8   λ = -2.216486e-04 +2.092273e+07j
    vd_bus36                                      p = 0.5000
    vq_bus36                                      p = 0.5000
    i_d_line44(b23->b36)                          p = 0.0000
    i_q_line44(b23->b36)                          p = 0.0000
    vd_bus23                                      p = 0.0000

Mode    9   λ = -5.364088e-04 -2.954605e+07j
    vq_bus38                                      p = 0.5000
    vd_bus38                                      p = 0.5000
    i_q_line46(b29->b38)                          p = 0.0000
    i_d_line46(b29->b38)                          p = 0.0000
    vq_bus29                                      p = 0.0000

Mode   10   λ = -5.364088e-04 +2.954605e+07j
    vq_bus38                                      p = 0.5000
    vd_bus38                                      p = 0.5000
    i_q_line46(b29->b38)                          p = 0.0000
    i_d_line46(b29->b38)                          p = 0.0000
    vq_bus29                                      p = 0.0000

Mode   11   λ = -5.473513e-04 -1.702163e+07j
    vd_bus37                                      p = 0.5000
    vq_bus37                                      p = 0.5000
    i_q_line45(b25->b37)                          p = 0.0000
    i_d_line45(b25->b37)                          p = 0.0000
    vd_bus25                                      p = 0.0000

Mode   12   λ = -5.473513e-04 +1.702163e+07j
    vd_bus37                                      p = 0.5000
    vq_bus37                                      p = 0.5000
    i_q_line45(b25->b37)                          p = 0.0000
    i_d_line45(b25->b37)                          p = 0.0000
    vd_bus25                                      p = 0.0000

Mode   13   λ = -6.781435e-04 +2.694556e+07j
    vd_bus33                                      p = 0.5000
    vq_bus33                                      p = 0.5000
    i_q_line41(b19->b33)                          p = 0.0000
    i_d_line41(b19->b33)                          p = 0.0000
    vq_bus19                                      p = 0.0000

Mode   14   λ = -6.781435e-04 -2.694556e+07j
    vd_bus33                                      p = 0.5000
    vq_bus33                                      p = 0.5000
    i_q_line41(b19->b33)                          p = 0.0000
    i_d_line41(b19->b33)                          p = 0.0000
    vq_bus19                                      p = 0.0000

Mode   15   λ = -5.292129e-03 +9.600591e+00j
    delta_gen_bus37                               p = 0.3217
    omega_gen_bus37                               p = 0.3217
    delta_gen_bus30                               p = 0.1776
    omega_gen_bus30                               p = 0.1776
    omega_gen_bus38                               p = 0.0003

Mode   16   λ = -5.292129e-03 -9.600591e+00j
    delta_gen_bus37                               p = 0.3217
    omega_gen_bus37                               p = 0.3217
    delta_gen_bus30                               p = 0.1776
    omega_gen_bus30                               p = 0.1776
    omega_gen_bus38                               p = 0.0003

Mode   17   λ = -5.489167e-03 -9.124479e+00j
    delta_gen_bus33                               p = 0.4098
    omega_gen_bus33                               p = 0.4098
    delta_gen_bus34                               p = 0.0491
    omega_gen_bus34                               p = 0.0491
    delta_gen_bus35                               p = 0.0233

Mode   18   λ = -5.489167e-03 +9.124479e+00j
    delta_gen_bus33                               p = 0.4098
    omega_gen_bus33                               p = 0.4098
    delta_gen_bus34                               p = 0.0491
    omega_gen_bus34                               p = 0.0491
    delta_gen_bus35                               p = 0.0233

Mode   19   λ = -6.237940e-03 +8.044763e+00j
    omega_gen_bus30                               p = 0.2616
    delta_gen_bus30                               p = 0.2616
    delta_gen_bus37                               p = 0.1423
    omega_gen_bus37                               p = 0.1423
    delta_gen_bus32                               p = 0.0490

Mode   20   λ = -6.237940e-03 -8.044763e+00j
    omega_gen_bus30                               p = 0.2616
    delta_gen_bus30                               p = 0.2616
    delta_gen_bus37                               p = 0.1423
    omega_gen_bus37                               p = 0.1423
    delta_gen_bus32                               p = 0.0490

Mode   21   λ = -6.249665e-03 -5.700013e+00j
    omega_gen_bus38                               p = 0.3162
    delta_gen_bus38                               p = 0.3162
    delta_gen_bus34                               p = 0.1297
    omega_gen_bus34                               p = 0.1297
    delta_gen_bus33                               p = 0.0228

Mode   22   λ = -6.249665e-03 +5.700013e+00j
    omega_gen_bus38                               p = 0.3162
    delta_gen_bus38                               p = 0.3162
    delta_gen_bus34                               p = 0.1297
    omega_gen_bus34                               p = 0.1297
    delta_gen_bus33                               p = 0.0228

Mode   23   λ = -7.438127e-03 +9.645416e+00j
    delta_gen_bus36                               p = 0.3020
    omega_gen_bus36                               p = 0.3020
    omega_gen_bus35                               p = 0.1959
    delta_gen_bus35                               p = 0.1959
    i_q_line44(b23->b36)                          p = 0.0008

Mode   24   λ = -7.438127e-03 -9.645416e+00j
    delta_gen_bus36                               p = 0.3020
    omega_gen_bus36                               p = 0.3020
    omega_gen_bus35                               p = 0.1959
    delta_gen_bus35                               p = 0.1959
    i_q_line44(b23->b36)                          p = 0.0008

Mode   25   λ = -9.002991e-03 -7.365458e+00j
    omega_gen_bus32                               p = 0.1667
    delta_gen_bus32                               p = 0.1667
    omega_gen_bus35                               p = 0.1319
    delta_gen_bus35                               p = 0.1319
    delta_gen_bus31                               p = 0.0866

Mode   26   λ = -9.002991e-03 +7.365458e+00j
    omega_gen_bus32                               p = 0.1667
    delta_gen_bus32                               p = 0.1667
    omega_gen_bus35                               p = 0.1319
    delta_gen_bus35                               p = 0.1319
    delta_gen_bus31                               p = 0.0866

Mode   27   λ = -9.419772e-03 -6.648598e+00j
    omega_gen_bus34                               p = 0.2199
    delta_gen_bus34                               p = 0.2199
    omega_gen_bus32                               p = 0.0771
    delta_gen_bus32                               p = 0.0771
    omega_gen_bus35                               p = 0.0527

Mode   28   λ = -9.419772e-03 +6.648598e+00j
    omega_gen_bus34                               p = 0.2199
    delta_gen_bus34                               p = 0.2199
    omega_gen_bus32                               p = 0.0771
    delta_gen_bus32                               p = 0.0771
    omega_gen_bus35                               p = 0.0527

Mode   29   λ = -1.003436e-02 -8.884774e+00j
    omega_gen_bus31                               p = 0.3280
    delta_gen_bus31                               p = 0.3280
    omega_gen_bus32                               p = 0.1680
    delta_gen_bus32                               p = 0.1680
    omega_gen_bus30                               p = 0.0013

Mode   30   λ = -1.003436e-02 +8.884774e+00j
    omega_gen_bus31                               p = 0.3280
    delta_gen_bus31                               p = 0.3280
    omega_gen_bus32                               p = 0.1680
    delta_gen_bus32                               p = 0.1680
    omega_gen_bus30                               p = 0.0013

Mode   31   λ = -1.019454e-02 -3.190622e+00j
    omega_gen_bus38                               p = 0.1116
    delta_gen_bus38                               p = 0.1116
    omega_gen_bus34                               p = 0.0845
    delta_gen_bus34                               p = 0.0845
    omega_gen_bus35                               p = 0.0732

Mode   32   λ = -1.019454e-02 +3.190622e+00j
    omega_gen_bus38                               p = 0.1116
    delta_gen_bus38                               p = 0.1116
    omega_gen_bus34                               p = 0.0845
    delta_gen_bus34                               p = 0.0845
    omega_gen_bus35                               p = 0.0732

Mode   33   λ = -3.888069e-01 +8.185515e+06j
    vd_bus34                                      p = 0.4998
    vq_bus34                                      p = 0.4998
    i_d_line42(b20->b34)                          p = 0.0002
    i_q_line42(b20->b34)                          p = 0.0002
    vd_bus20                                      p = 0.0000

Mode   34   λ = -3.888069e-01 -8.185515e+06j
    vd_bus34                                      p = 0.4998
    vq_bus34                                      p = 0.4998
    i_d_line42(b20->b34)                          p = 0.0002
    i_q_line42(b20->b34)                          p = 0.0002
    vd_bus20                                      p = 0.0000

Mode   35   λ = -1.192889e+01 -1.122828e+03j
    i_d_line44(b23->b36)                          p = 0.1951
    i_q_line43(b22->b35)                          p = 0.1940
    i_q_line44(b23->b36)                          p = 0.1937
    i_d_line43(b22->b35)                          p = 0.1924
    i_q_line28(b22->b23)                          p = 0.0687

Mode   36   λ = -1.192889e+01 +1.122828e+03j
    i_d_line44(b23->b36)                          p = 0.1951
    i_q_line43(b22->b35)                          p = 0.1940
    i_q_line44(b23->b36)                          p = 0.1937
    i_d_line43(b22->b35)                          p = 0.1924
    i_q_line28(b22->b23)                          p = 0.0687

Mode   37   λ = -1.535022e+01 -3.769936e+02j
    i_q_line38(b12->b11)                          p = 0.2303
    i_d_line38(b12->b11)                          p = 0.2303
    i_d_line39(b12->b13)                          p = 0.2303
    i_q_line39(b12->b13)                          p = 0.2303
    i_d_line17(b10->b13)                          p = 0.0132

Mode   38   λ = -1.535022e+01 +3.769936e+02j
    i_q_line38(b12->b11)                          p = 0.2303
    i_d_line38(b12->b11)                          p = 0.2303
    i_d_line39(b12->b13)                          p = 0.2303
    i_q_line39(b12->b13)                          p = 0.2303
    i_d_line17(b10->b13)                          p = 0.0132

Mode   39   λ = -2.271610e+01 -3.769916e+02j
    i_d_line29(b23->b24)                          p = 0.2244
    i_q_line29(b23->b24)                          p = 0.2243
    i_q_line27(b21->b22)                          p = 0.0897
    i_d_line27(b21->b22)                          p = 0.0897
    i_q_line23(b16->b21)                          p = 0.0865

Mode   40   λ = -2.271610e+01 +3.769916e+02j
    i_d_line29(b23->b24)                          p = 0.2244
    i_q_line29(b23->b24)                          p = 0.2243
    i_q_line27(b21->b22)                          p = 0.0897
    i_d_line27(b21->b22)                          p = 0.0897
    i_q_line23(b16->b21)                          p = 0.0865

Mode   41   λ = -2.397073e+01 -3.770950e+02j
    i_d_line1(b1->b2)                             p = 0.1093
    i_q_line1(b1->b2)                             p = 0.1092
    i_q_line14(b8->b9)                            p = 0.1010
    i_d_line14(b8->b9)                            p = 0.1009
    i_q_line15(b9->b39)                           p = 0.0696

Mode   42   λ = -2.397073e+01 +3.770950e+02j
    i_d_line1(b1->b2)                             p = 0.1093
    i_q_line1(b1->b2)                             p = 0.1092
    i_q_line14(b8->b9)                            p = 0.1010
    i_d_line14(b8->b9)                            p = 0.1009
    i_q_line15(b9->b39)                           p = 0.0696

Mode   43   λ = -2.730815e+01 +3.769913e+02j
    i_q_line10(b5->b8)                            p = 0.2004
    i_d_line10(b5->b8)                            p = 0.2004
    i_q_line11(b6->b7)                            p = 0.1673
    i_d_line11(b6->b7)                            p = 0.1673
    i_d_line13(b7->b8)                            p = 0.0836

Mode   44   λ = -2.730815e+01 -3.769913e+02j
    i_q_line10(b5->b8)                            p = 0.2004
    i_d_line10(b5->b8)                            p = 0.2004
    i_q_line11(b6->b7)                            p = 0.1673
    i_d_line11(b6->b7)                            p = 0.1673
    i_d_line13(b7->b8)                            p = 0.0836

Mode   45   λ = -2.760986e+01 +2.121761e+04j
    vq_bus11                                      p = 0.1219
    vd_bus11                                      p = 0.1215
    vd_bus13                                      p = 0.1007
    vq_bus13                                      p = 0.1006
    i_q_line17(b10->b13)                          p = 0.0781

Mode   46   λ = -2.760986e+01 -2.121761e+04j
    vq_bus11                                      p = 0.1219
    vd_bus11                                      p = 0.1215
    vd_bus13                                      p = 0.1007
    vq_bus13                                      p = 0.1006
    i_q_line17(b10->b13)                          p = 0.0781

Mode   47   λ = -2.781125e+01 -2.196923e+04j
    vq_bus11                                      p = 0.1224
    vd_bus11                                      p = 0.1218
    vq_bus13                                      p = 0.1006
    vd_bus13                                      p = 0.1005
    i_q_line17(b10->b13)                          p = 0.0781

Mode   48   λ = -2.781125e+01 +2.196923e+04j
    vq_bus11                                      p = 0.1224
    vd_bus11                                      p = 0.1218
    vq_bus13                                      p = 0.1006
    vd_bus13                                      p = 0.1005
    i_q_line17(b10->b13)                          p = 0.0781

Mode   49   λ = -2.793822e+01 -3.770018e+02j
    i_q_line8(b4->b14)                            p = 0.1516
    i_d_line8(b4->b14)                            p = 0.1516
    i_q_line7(b4->b5)                             p = 0.0531
    i_d_line7(b4->b5)                             p = 0.0531
    i_q_line19(b14->b15)                          p = 0.0458

Mode   50   λ = -2.793822e+01 +3.770018e+02j
    i_q_line8(b4->b14)                            p = 0.1516
    i_d_line8(b4->b14)                            p = 0.1516
    i_q_line7(b4->b5)                             p = 0.0531
    i_d_line7(b4->b5)                             p = 0.0531
    i_q_line19(b14->b15)                          p = 0.0458

Mode   51   λ = -2.922940e+01 -6.788819e+02j
    i_q_line35(b2->b30)                           p = 0.1281
    i_d_line35(b2->b30)                           p = 0.1272
    i_d_line30(b25->b26)                          p = 0.0553
    i_q_line30(b25->b26)                          p = 0.0553
    i_q_line3(b2->b3)                             p = 0.0320

Mode   52   λ = -2.922940e+01 +6.788819e+02j
    i_q_line35(b2->b30)                           p = 0.1281
    i_d_line35(b2->b30)                           p = 0.1272
    i_d_line30(b25->b26)                          p = 0.0553
    i_q_line30(b25->b26)                          p = 0.0553
    i_q_line3(b2->b3)                             p = 0.0320

Mode   53   λ = -3.028966e+01 +3.770054e+02j
    i_d_line19(b14->b15)                          p = 0.0764
    i_q_line19(b14->b15)                          p = 0.0764
    i_d_line18(b13->b14)                          p = 0.0557
    i_q_line18(b13->b14)                          p = 0.0557
    i_q_line7(b4->b5)                             p = 0.0471

Mode   54   λ = -3.028966e+01 -3.770054e+02j
    i_d_line19(b14->b15)                          p = 0.0764
    i_q_line19(b14->b15)                          p = 0.0764
    i_d_line18(b13->b14)                          p = 0.0557
    i_q_line18(b13->b14)                          p = 0.0557
    i_q_line7(b4->b5)                             p = 0.0471

Mode   55   λ = -3.438159e+01 -3.769911e+02j
    i_d_line33(b26->b29)                          p = 0.2500
    i_q_line33(b26->b29)                          p = 0.2500
